seed,timestep,drift,mean_reversion_speed,liquid_exchange_prices,uniswap_prices,uniswap_x_reserves,uniswap_y_reserves,arbitrageur_balance_x,arbitrageur_balance_y
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.004374185508516,0.0,1000.0,1000.0,340282366920938463463374607431768211455,340282366920938463463374607431768211455
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.008359592205926,1.0053425499505837,997.3433674551284,1002.6717242136409,340282366920938463460702883218127288687,340282366920938463466031239976639822107
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.0103890876916384,1.0073609540980262,996.3452005279287,1003.6792518148035,340282366920938463459695355616964723760,340282366920938463467029406903839452861
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.0009460340375462,1.0039528008388245,998.037469840939,1001.9825131889045,340282366920938463461392094242863668143,340282366920938463465337137590829180638
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.9990364127207725,1.0020396704418244,998.9911907286632,1001.0288035320353,340282366920938463462345803899732843675,340282366920938463464383416703105039030
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.9930256041788478,0.9960046198923144,1002.017733170325,998.0142914516681,340282366920938463465360315980100200168,340282366920938463461356874261443226016
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.0036517404553966,1.0006477685051975,999.6937656898673,1000.3413358261233,340282366920938463463033271605644845391,340282366920938463463680841741901031530
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.005175387478028,1.0021621371366802,998.939295049796,1001.0991387969124,340282366920938463462275468634855844452,340282366920938463464435312381972143015
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.0117207663048897,1.0086954345689507,995.7038380924234,1004.3619156666091,340282366920938463459012691765159121286,340282366920938463467670769339344776279
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.006537102295087,1.0086954345689507,995.7038380924234,1004.3619156666091,340282366920938463459012691765159121286,340282366920938463467670769339344776279
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.003054335751902,1.0060686149666151,997.004820903433,1003.055259281355,340282366920938463460319348150413101809,340282366920938463466369786528335182674
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.9964111771049017,0.9993994363415654,1000.3308781427179,999.7301157708953,340282366920938463463644491660872887031,340282366920938463463043729289050356978
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.986664657936908,0.9896189737910984,1005.2692968501221,994.8335699325169,340282366920938463468541037499251229851,340282366920938463458105310581645998379
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.978420574298868,0.9813523275417961,1009.5008230395683,990.6759823452393,340282366920938463472698625086528979620,340282366920938463453873784392199873079
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.9735818856799489,0.9765041637513455,1012.007473341907,988.229511465851,340282366920938463475145095965917245969,340282366920938463451367134089861195422
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.9814016691730785,0.9784604043997456,1010.9968304544502,989.2203675733224,340282366920938463474154239858445797109,340282366920938463452377776977317922855
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.9754353428734162,0.9783703189148926,1011.0434441230057,989.1748968634363,340282366920938463474199710568331871354,340282366920938463452331163308762545322
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.9794861923933791,0.9783703189148926,1011.0434441230057,989.1748968634363,340282366920938463474199710568331871354,340282366920938463452331163308762545322
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.9924779082596654,0.989517267359534,1005.3411252499343,994.8024030214741,340282366920938463468572204410294098135,340282366920938463458033482181833928052
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.9973495380967982,0.9943647805445858,1002.8912968454783,997.2397842978291,340282366920938463466134823133939146600,340282366920938463460483310586289888266
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.9963524325888945,0.9943647805445858,1002.8912968454783,997.2397842978291,340282366920938463466134823133939146600,340282366920938463460483310586289888266
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.9968629715017859,0.9943647805445858,1002.8912968454783,997.2397842978291,340282366920938463466134823133939146600,340282366920938463460483310586289888266
5615397392323719384,0.0027397,0.10000000000000002,0.1,0.9966738977389231,0.9943647805445858,1002.8912968454783,997.2397842978291,340282366920938463466134823133939146600,340282366920938463460483310586289888266
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.0088982588795425,1.0058889260091708,997.1384517148923,1003.0105262779402,340282366920938463460364081153827877648,340282366920938463466236155716875889167
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.01161416710022,1.0085833750412279,995.8076236672266,1004.3550139700764,340282366920938463459019593461691803232,340282366920938463467566983764541562127
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.011481752099673,1.0085833750412279,995.8076236672266,1004.3550139700764,340282366920938463459019593461691803232,340282366920938463467566983764541562127
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.0045966903430958,1.0076180999431965,996.2852063279823,1003.8750066017169,340282366920938463459499600830051224463,340282366920938463467089401103785944602
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.002040030305832,1.0050513473442406,997.5584876309088,1002.5975020481278,340282366920938463460777105383640422454,340282366920938463465816119800859431917
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.0120326370868054,1.0090024805824798,995.6063430959432,1004.5692698674579,340282366920938463458805337564310220850,340282366920938463467768264335825108540
5615397392323719384,0.0027397,0.10000000000000002,0.1,1.021914871531399,1.0188639772960042,990.7836541468315,1009.4737745039093,340282366920938463453900832927858857365,340282366920938463472590953284936719376
